ts,value
1614918066505,24
1614918067506,24
1614918068506,24
1614918069506,24
1614918070505,24
1614918071506,24
1614918072505,24
1614918073506,24
1614918074506,24
1614918075506,24
1614918076506,24
1614918077506,24
1614918078506,24
1614918079506,24
1614918080506,24
1614918081506,24
1614918082506,24
1614918083506,24
1614918084506,24
1614918085506,24
1614918086507,24
1614918087506,24
1614918088506,24
1614918089505,24
1614918090506,24
1614918091506,24
1614918092506,24
1614918093505,24
1614918094506,24
1614918095506,24
1614918096506,24
1614918097506,24
1614918098506,24
1614918099505,24
1614918100505,24
1614918101506,24
1614918102506,24
1614918103506,24
1614918104506,24
1614918105506,24
1614918106506,24
1614918107505,24
1614918108506,24
1614918109506,24
1614918110505,24
1614918111506,24
1614918112506,24
1614918113506,24
1614918114506,24
1614918115506,24
1614918116506,24
1614918117506,24
1614918118506,24
1614918119506,24
1614918120506,24
1614918121506,24
1614918122506,24
1614918123506,24
1614918124506,24
1614918125506,24
1614918126506,24
1614918127506,24
1614918128506,24
1614918129506,24
1614918130506,24
1614918131506,24
1614918132506,24
1614918133506,24
1614918134506,24
1614918135505,24
1614918136506,24
1614918137506,24
1614918138507,24
1614918139506,24
1614918140506,24
1614918141506,24
1614918142506,24
1614918143505,24
1614918144506,24
1614918145506,24
1614918146506,24
1614918147505,24
1614918148506,24
1614918149507,24
1614918150505,24
1614918151505,24
1614918152506,24
1614918153506,24
1614918154506,24
1614918155506,24
1614918156507,24
1614918157506,24
1614918158506,24
1614918159506,24
1614918160506,24
1614918161505,24
1614918162505,24
1614918163506,24
1614918164506,24
1614918165506,24
1614918166506,24
1614918167506,24
1614918168506,24
1614918169505,24
1614918170506,24
1614918171505,24
1614918172507,24
1614918173505,24
1614918174506,24
1614918175505,24
1614918176505,24
1614918177506,24
1614918178505,24
1614918179505,24
1614918180506,24
1614918181506,24
1614918182506,24
1614918183505,24
1614918184506,24
1614918185506,24
1614918186506,24
1614918187505,24
1614918188506,24
1614918189506,24
1614918190506,24
1614918191506,24
1614918192505,24
1614918193506,24
1614918194506,24
1614918195506,24
1614918196506,24
1614918197505,24
1614918198506,24
1614918199506,24
1614918200505,24
1614918201506,24
1614918202506,24
1614918203506,24
1614918204505,24
1614918205506,24
1614918206506,24
1614918207505,24
1614918208506,24
1614918209506,24
1614918210506,24
1614918211506,24
1614918212506,24
1614918213506,24
1614918214506,24
1614918215506,24
1614918216505,24
1614918217506,24
1614918218506,24
1614918219506,24
1614918220506,24
1614918221506,24
1614918222506,24
1614918223506,24
1614918224505,24
1614918225506,24
1614918226506,24
1614918227506,24
1614918228506,24
1614918229506,24
1614918230505,24
1614918231505,24
1614918232506,24
1614918233505,24
1614918234506,24
1614918235505,24
1614918236506,24
1614918237506,24
1614918238506,24
1614918239506,24
1614918240506,24
1614918241505,24
1614918242506,24
1614918243506,24
1614918244506,24
1614918245506,24
1614918246506,24
1614918247505,24
1614918248506,24
1614918249506,24
1614918250506,24
1614918251506,24
1614918252506,24
1614918253506,24
1614918254506,24
1614918255506,24
1614918256506,24
1614918257506,24
1614918258506,24
1614918259506,24
1614918260506,24
1614918261505,24
1614918262506,24
1614918263505,24
1614918264505,24
1614918265506,24
1614918266505,24
1614918267506,24
1614918268506,24
1614918269506,24
1614918270506,24
1614918271506,24
1614918272506,24
1614918273506,24
1614918274506,24
1614918275506,24
1614918276506,24
1614918277506,24
1614918278506,24
1614918279505,24
1614918280505,24
1614918281506,24
1614918282506,24
1614918283506,24
1614918284506,24
1614918285506,24
1614918286506,24
1614918287505,24
1614918288506,24
1614918289505,24
1614918290506,24
1614918291506,24
1614918292506,24
1614918293505,24
1614918294507,24
1614918295505,24
1614918296506,24
1614918297506,24
1614918298506,24
1614918299505,24
1614918300506,24
1614918301506,24
1614918302506,24
1614918303506,24
1614918304505,24
1614918305505,24
1614918306506,24
1614918307506,24
1614918308506,24
1614918309505,24
1614918310506,24
1614918311506,24
1614918312506,24
1614918313506,24
1614918314506,24
1614918315506,24
1614918316506,24
1614918317506,24
1614918318506,24
1614918319505,24
1614918320506,24
1614918321506,24
1614918322505,24
1614918323506,24
1614918324506,24
1614918325505,24
1614918326506,24
1614918327506,24
1614918328506,24
1614918329505,24
1614918330505,24
1614918331506,24
1614918332506,24
1614918333506,24
1614918334506,24
1614918335505,24
1614918336505,24
1614918337505,24
1614918338506,24
1614918339506,24
1614918340506,24
1614918341505,24
1614918342506,24
1614918343506,24
1614918344506,24
1614918345506,24
1614918346506,24
1614918347505,24
1614918348505,24
1614918349506,24
1614918350506,24
1614918351506,24
1614918352506,24
1614918353506,24
1614918354506,24
1614918355506,24
1614918356506,24
1614918357506,24
1614918358506,24
1614918359507,24
